03394050+2528476 03 39 40.486 +25 28 48.228 0.367 0.380 4.139                                                                                     1  -1.000       1995AJ....110.1838R 0 0
03422933+1231368 03 42 29.445 +12 31 33.612 0.267 0.284 5.622                                             -0.001       2002AJ....123.3356G  0.103 0  -0.001       2002AJ....123.3356G 0 1
03434521+1640027 03 43 45.254 +16 40 02.226 0.532 0.540 5.766                                              0.168       2002AJ....123.3356G  0.057 0   0.168       2002AJ....123.3356G 0 0
03435253+1640198 03 43 52.555 +16 40 19.346 0.653 0.658 6.474                                              0.273       2002AJ....123.3356G  0.061 0   0.273       2002AJ....123.3356G 0 0
03443093+3458236 03 44 30.934 +34 58 23.213 0.638 0.643        13.5616 2011AJ....141..166H                 0.090 0.080 2014MNRAS.443.2561G        0   0.090 0.080 2014MNRAS.443.2561G 0 0
03462011+2612560 03 46 20.145 +26 12 55.843 0.654 0.659                                                    0.215       2002AJ....123.3356G        0   0.215       2002AJ....123.3356G 0 0
03472091+0841464 03 47 20.883 +08 41 47.079 0.135 0.160 3.185                               -0.056 0.047  -0.056 0.047 ThisWork             0.050 0  -0.056 0.047 ThisWork            0 0
03475809+0247161 03 47 58.093 +02 47 16.227 0.452 0.462 6.161                                              0.051 0.090 2014MNRAS.443.2561G  0.113 0   0.051 0.090 2014MNRAS.443.2561G 0 0
03480101+6840222 03 48 01.036 +68 40 22.396 0.673 0.678                                                    0.424       2002AJ....123.3356G        0   0.424       2002AJ....123.3356G 0 0
03480174+6840388 03 48 01.531 +68 40 39.104 0.573 0.581                                                    0.134       2002AJ....123.3356G        0   0.134       2002AJ....123.3356G 0 1
03483822+7332352 03 48 38.205 +73 32 35.111 0.432 0.443 5.376                                             -0.039 0.050 2014MNRAS.443.2561G  0.144 0  -0.039 0.050 2014MNRAS.443.2561G 0 0
03524169+1701056 03 52 41.762 +17 01 04.154 0.166 0.189 2.636                               -3.640 0.039  -3.640 0.039 ThisWork             0.993 0  -3.640 0.039 ThisWork            1 1
03595354+2605240 03 59 53.667 +26 05 23.505 0.442 0.453 4.428                                             -0.059 0.330 2014MNRAS.443.2561G  0.128 0  -0.059 0.330 2014MNRAS.443.2561G 0 0
04010755+5123196 04 01 07.565 +51 23 19.524 0.270 0.287 4.527                                                                                     1  -1.000       1995AJ....110.1838R 0 0
04040615+3042454 04 04 06.135 +30 42 45.568 0.284 0.301 5.422                                                                                     1   0.000 0.400 2015A&A...577A.128A 0 0
04083742+3338134 04 08 37.401 +33 38 13.324 0.540 0.548 5.429                                              0.159       2002AJ....123.3356G  0.061 0   0.159       2002AJ....123.3356G 0 0
04121693+6443560 04 12 17.004 +64 43 55.709 0.179 0.201 3.347   1.5940 2016ApJ...821...93N  -2.826 0.042  -2.826 0.042 ThisWork             0.992 0  -2.826 0.042 ThisWork            1 0
